Timestamp,UnitName,DNA,DNE,AllySector,EnemySector,NearestEType,GreatestAngle,SmallestAngle,Vx,Vz,Px,Pz,ElevationDiff,Elevation,Health,PercentForestAtEnemy,PercentForestAtSol,PercentForestNorthSector,PercentForestSouthSector,PercentForestEastSector,PercentForestWestSector
12:00:13.705400,Soldier1,12.33197469994197,464.0000038793113,"[4, 3]","[4, 4, 2, 2]",Rifleman,0.009439134633288365,0.007709077375349393,3.11024,3.1123,9296.16,16439.9,1.021285466843609,5.63282,0,[0.994554],[0.991356],0.9712433846153845,0.9915483333333334,0.9950592222222223,0.9507672000000001
12:00:13.808400,Soldier2,12.33197469994197,452.2086354770337,"[2, 3, 3]","[4, 4, 2, 2]",Rifleman,0.0131798349856489,0.012091266127940047,3.91639,3.86159,9287.42,16431.2,1.0098839860810975,5.69741,0,[0.994554],[0.99119],0.8685248923076924,0.9908611999999998,0.9933924444444444,0.9356753000000001
12:00:13.914900,Soldier3,30.887058778718515,434.4845355130616,"[1, 1, 3]","[4, 4, 2, 2]",Rifleman,0.022618969618954272,0.01980034350329966,3.29404,4.40446,9274.18,16418.2,1.0076766480241857,5.71,0,[0.994554],[0.991037],0.985108923076923,0.9906703333333334,0.9916736666666667,0.9881276
12:00:14.000700,Soldiergunner,44.225093555583804,422.8269765518752,"[1, 1]","[4, 4, 2, 2]",Rifleman,0.028566878628754663,0.026864090748106705,1.69877,4.90025,9266.83,16406.8,0.8238282364507102,6.86247,0,[0.994554],[0.990622],0.9889602307692308,0.9918388666666667,0.9900926666666668,0.9862464
12:00:19.703300,Soldier1,8.697700845625311,456.514490569577,"[4, 4]","[4, 4, 2, 2]",Rifleman,0.007023699503296131,0.004762852611121672,3.10984,3.11271,9314.83,16458.6,1.0535737604484625,5.35294,0,[0.999409],[0.994519],0.993021076923077,0.9943686000000002,0.9956483333333332,0.9862546999999999
12:00:19.747900,Soldier2,8.697700845625311,464.7169957081411,"[2, 3, 3]","[4, 4, 2, 2]",Rifleman,0.012583787304572934,0.00925537051754267,2.94924,4.64241,9308.63,16452.5,1.0064390635038332,5.61129,0,[0.999409],[0.993039],0.9902297692307692,0.9929537333333333,0.9953281111111111,0.8755778
12:00:19.830300,Soldier3,26.042127409257276,464.19748394406434,"[2, 1, 3]","[4, 4, 2, 2]",Rifleman,0.019607486807854624,0.014018223128632252,4.44061,3.24515,9296.01,16440.6,1.0136700542668446,5.67588,0,[0.994554],[0.990274],0.9333631538461538,0.9918273999999999,0.9948060000000001,0.84939906
12:00:19.912700,Soldiergunner,40.682851424155565,450.6548125783192,"[1, 1]","[4, 4, 2, 2]",Rifleman,0.02618218518785407,0.02151612581334301,4.90996,2.47837,9286.71,16429.2,1.0136700542668446,5.67588,0,[0.994554],[0.992194],0.9585967692307692,0.9904769999999999,0.9935755555555557,0.9849392
12:00:22.690200,Soldier1,6.237980442418643,440.50198637463535,"[4, 4, 4]","[4, 4, 2, 2]",Rifleman,0.005059093422694802,0.003566684572765534,3.11301,3.10953,9324.16,16467.9,1.0376134513092719,5.43906,0,[0.999409],[0.995123],0.9938553846153847,0.9950113333333335,0.9964090000000001,0.9905310999999999
12:00:22.755400,Soldier2,6.237980442418643,446.3226729620614,"[2, 3, 3]","[4, 4, 2, 2]",Rifleman,0.012781548781672456,0.009805388299836269,4.27369,2.93834,9319.84,16463.4,1.049559738628047,5.37447,0,[0.999409],[0.994483],0.9920295384615384,0.9939360666666668,0.9956589999999998,0.9642880000000001
