terrainid,tx,ty,tz,urban,open,closed
91,1000570,0,1003360,0.0120079,1.40398e-06,0.987991
92,1000580,0,1003360,0.0226442,0.339326,0.638029
93,1000590,0,1003360,0.0227783,0.964698,0.012524
94,1000600,0,1003360,0.0192578,0.971577,0.0091651
95,1000610,0,1003360,0.0182556,0.969105,0.0126391
96,1000620,0,1003360,0.0178615,0.96564,0.0164985
97,1000630,0,1003360,0.0181768,0.961384,0.0204392
98,1000640,0,1003360,0.018827,0.956548,0.024625
99,1000650,0,1003360,0.0188652,0.951549,0.0295854
100,1000660,0,1003360,0.0177657,0.948692,0.0335425
101,999660,0,1003370,1.28278e-05,1.01343e-63,0.999987
102,999670,0,1003370,0.000499616,1.04283e-31,0.9995
103,999680,0,1003370,0.0052431,1.24307e-11,0.994757
104,999690,0,1003370,0.0125046,0.00014359,0.987352
105,999700,0,1003370,0.0160678,0.0092611,0.974671
106,999710,0,1003370,0.0159062,0.00719694,0.976897
107,999720,0,1003370,0.0141689,0.000992828,0.984838
108,999730,0,1003370,0.0122628,7.35777e-05,0.987664
109,999740,0,1003370,0.0102366,3.09215e-06,0.98976
110,999750,0,1003370,0.00962399,8.38118e-07,0.990375
111,999760,0,1003370,0.00917828,3.49338e-07,0.990821
112,999770,0,1003370,0.0086847,1.5447e-07,0.991315
113,999780,0,1003370,0.00855628,1.53901e-07,0.991444
114,999790,0,1003370,0.00895597,2.90063e-07,0.991044
115,999800,0,1003370,0.0100181,1.32817e-06,0.989981
116,999810,0,1003370,0.00845048,8.15949e-08,0.991549
117,999820,0,1003370,0.0062559,7.09005e-10,0.993744
118,999830,0,1003370,0.00547354,7.88306e-11,0.994526
119,999840,0,1003370,0.00603719,3.1014e-10,0.993963
120,999850,0,1003370,0.00682446,2.15488e-09,0.993176
121,999860,0,1003370,0.00830682,5.59559e-08,0.991693
122,999870,0,1003370,0.00994743,1.03161e-06,0.990052
123,999880,0,1003370,0.0102786,1.7099e-06,0.98972
124,999890,0,1003370,0.0080041,2.51832e-08,0.991996
125,999900,0,1003370,0.00532641,3.43949e-11,0.994674
126,999910,0,1003370,0.00377044,1.45123e-13,0.99623
127,999920,0,1003370,0.00334746,2.16844e-14,0.996653
128,999930,0,1003370,0.003578,5.04935e-14,0.996422
129,999940,0,1003370,0.00389837,1.62409e-13,0.996102
130,999950,0,1003370,0.00467944,3.40208e-12,0.995321
131,999960,0,1003370,0.0059948,1.79787e-10,0.994005
132,999970,0,1003370,0.0081797,2.52972e-08,0.99182
133,999980,0,1003370,0.00945644,2.87593e-07,0.990543
134,999990,0,1003370,0.010263,1.13406e-06,0.989736
135,1000000,0,1003370,0.00958344,3.31006e-07,0.990416
136,1000010,0,1003370,0.00814258,1.8613e-08,0.991857
137,1000020,0,1003370,0.00603906,1.31344e-10,0.993961
138,1000030,0,1003370,0.00352851,1.791e-14,0.996471
139,1000040,0,1003370,0.00189356,2.03968e-19,0.998106
140,1000050,0,1003370,0.000854521,2.51022e-26,0.999145
141,1000060,0,1003370,0.000415969,4.93243e-33,0.999584
142,1000070,0,1003370,0.000316224,5.26968e-36,0.999684
143,1000080,0,1003370,0.000225373,6.51628e-39,0.999775
144,1000090,0,1003370,0.000120959,2.16252e-44,0.999879
145,1000100,0,1003370,4.66952e-05,3.28487e-53,0.999953
146,1000110,0,1003370,2.76741e-05,1.91508e-58,0.999972
147,1000120,0,1003370,5.50711e-05,4.64357e-52,0.999945
148,1000130,0,1003370,0.000304007,3.77068e-36,0.999696
149,1000140,0,1003370,0.00168194,1.17856e-21,0.998318
150,1000150,0,1003370,0.00190396,1.7278e-22,0.998096
151,1000160,0,1003370,0.000174562,1.12113e-44,0.999825
152,1000170,0,1003370,3.82838e-06,6.2655e-78,0.999996
153,1000180,0,1003370,1.75075e-07,4.13401e-105,1
154,1000190,0,1003370,2.36623e-08,2.93478e-121,1
155,1000200,0,1003370,1.43018e-08,8.16319e-125,1
156,1000210,0,1003370,1.16404e-08,1.15438e-126,1
157,1000220,0,1003370,8.64056e-09,3.246e-128,1
158,1000230,0,1003370,6.78323e-09,1.60598e-129,1
159,1000240,0,1003370,5.77064e-09,2.36129e-130,1
160,1000250,0,1003370,4.95456e-09,1.41964e-131,1
161,1000260,0,1003370,6.35265e-09,1.17272e-129,1
162,1000270,0,1003370,1.53352e-08,1.0192e-121,1
163,1000280,0,1003370,3.82367e-08,1.85256e-115,1
