Timestamp,UnitName,DNA,DNE,AllySector,EnemySector,NearestEType,GreatestAngle,SmallestAngle,Vx,Vz,Px,Pz,ElevationDiff,Elevation,Health,PercentForestAtEnemy,PercentForestAtSol,PercentForestNorthSector,PercentForestSouthSector,PercentForestEastSector,PercentForestWestSector
12:00:14.491700,ft2_lead,6.793938474846239,482.6929558218127,[3],"[4, 4, 4, 4]",Rifleman,0.012400228395262801,0.011662256768722923,-1.87355,3.53299,9739.8,16630.1,1.141791245027196,17.6441,0,[0.991356],[0.999531],0.9981002307692309,0.9995466666666666,0.9982107777777777,0.9995337000000001
12:00:14.687300,ft2_member,6.793938474846239,485.870373659476,[1],"[4, 4, 4, 4]",Rifleman,0.012400228395262801,0.011662256768722923,-3.28799,2.27538,9745.06,16625.8,1.1814171107061104,18.3573,0,[0.991356],[0.999496],0.9982563846153846,0.9994982,0.9988096666666668,0.9995775
12:00:20.341900,ft2_lead,19.423954283307655,456.514490569577,[3],"[4, 4, 4, 4]",Rifleman,0.04253944694725861,0.03927992396511274,-1.85057,3.54523,9728.82,16651,1.0535737604484625,15.3516,0,[0.994519],[0.999409],0.9972433846153846,0.9995219999999999,0.9965424444444445,0.9988091000000001
12:00:17.502600,ft2_member,19.423954283307655,456.7227278119626,[1],"[4, 4, 4, 4]",Rifleman,0.04253944694725861,0.03927992396511274,-2.67435,2.97282,9736.82,16633.3,1.1927555071953013,17.6441,0,[0.994519],[0.999531],0.9981002307692309,0.9995466666666666,0.9982107777777777,0.9995337000000001
12:00:23.390600,ft2_lead,8.312737214659629,443.65294273790164,[3],"[4, 4, 4, 4]",Rifleman,0.017400908603894504,0.01588887609312935,-1.84338,3.54961,9723.1,16662,1.0027019476788952,14.8249,0,[0.995123],[0.999017],0.9960995384615384,0.9993870666666668,0.9952584444444444,0.9981217999999998
12:00:23.606900,ft2_member,8.312737214659629,440.50198637463535,[1],"[4, 4, 4, 4]",Rifleman,0.017400908603894504,0.01588887609312935,-1.832,3.55477,9723.56,16653.7,1.0376134513092719,15.3516,0,[0.995123],[0.999409],0.9972433846153846,0.9995219999999999,0.9965424444444445,0.9988091000000001
12:00:29.319800,ft2_lead,9.018031936071178,418.7670421606741,[3],"[4, 4, 4, 4]",Rifleman,0.01849308916651648,0.016793431239935815,-1.82495,3.55725,9712.27,16683,0.83352925626856,12.9351,0,[0.997446],[0.997608],0.9920973076923078,0.9987855333333334,0.9941705555555556,0.9945753999999999
12:00:29.512000,ft2_member,9.018031936071178,414.0740065495539,[1],"[4, 4, 4, 4]",Rifleman,0.01849308916651648,0.016793431239935815,-1.9703,3.48068,9711.7,16674,0.882602478668714,13.5857,0,[0.997446],[0.998634],0.9950788461538462,0.9992512666666667,0.9958903333333333,0.9956301999999999
12:00:35.400000,ft2_lead,20.26456266490912,395.7255140877318,[3],"[4, 4, 4, 4]",Rifleman,0.049551884137092654,0.04565506974917493,-1.79714,3.56939,9701.22,16704.7,0.7900043541085597,12.6873,0,[0.998889],[0.994773],0.9889782307692307,0.9966544666666668,0.9875335555555554,0.9901742
12:00:32.619100,ft2_member,20.26456266490912,390.09620608254994,[1],"[4, 4, 4, 4]",Rifleman,0.049551884137092654,0.04565506974917493,-1.77437,3.5822,9705.97,16685,0.7948713855154377,12.7492,0,[0.998889],[0.997417],0.9927943846153846,0.9985271333333333,0.995975888888889,0.9925355
12:00:38.314800,ft2_lead,9.482747492154315,390.03268016923835,[3],"[4, 4, 4, 4]",Rifleman,0.018642925566387546,0.01757148875318011,-1.77591,3.5755,9696.04,16715.1,0.7247833449128914,12.3368,0,[0.998647],[0.9909],0.9869649230769232,0.9943857333333334,0.9902801111111111,0.98629
12:00:38.500200,ft2_member,9.482747492154315,383.8591591977457,[1],"[4, 4, 4, 4]",Rifleman,0.018642925566387546,0.01757148875318011,-1.94112,3.48939,9694.79,16705.7,0.7129438693587148,12.1916,0,[0.998647],[0.993609],0.9888290000000001,0.9954030666666667,0.9927521111111111,0.9892180999999999
12:00:44.316100,ft2_lead,9.5096582483263,370.5332854144138,[3],"[4, 4, 4, 4]",Rifleman,0.01824832490264063,0.01656404602867824,-1.66621,3.61378,9685.65,16736.6,0.8229500619222242,13.6093,0,[0.998013],[0.987785],0.6138478692307692,0.9900928,0.9874066666666665,0.8404728999999997
12:00:44.487800,ft2_member,9.5096582483263,363.7843454575803,[1],"[4, 4, 4, 4]",Rifleman,0.01824832490264063,0.01656404602867824,-1.73855,3.57197,9684.21,16727.2,0.7900470747823201,13.1688,0,[0.998013],[0.98837],0.9133088461538462,0.9917505333333332,0.989903,0.9430622
12:00:50.334500,ft2_lead,9.04099552040598,348.9444798245149,[3],"[4, 4, 4, 4]",Rifleman,0.018471750210613133,0.016042701428770737,-1.89485,3.47739,9674.54,16757.5,0.6160026250666143,11.7449,0,[0.998024],[0.772866],0.07101562307692307,0.9590239999999999,0.7123787111111112,0.34495866
12:00:50.544000,ft2_member,9.04099552040598,342.5447322613514,[1],"[4, 4, 4, 4]",Rifleman,0.018471750210613133,0.016042701428770737,-1.23287,3.77397,9673.68,16748.5,0.6627354763974107,12.3068,0,[0.998024],[0.977086],0.23214339230769232,0.9856640666666666,0.9317303333333332,0.57282414
12:00:53.345500,ft2_lead,6.578753681359732,328.19873552468204,[3],"[4, 4, 4, 4]",Rifleman,0.00998553337698235,0.008127675493003509,0.664703,3.93966,9673.74,16765.3,0.44572091913320483,10.5722,0,[0.998688],[0.177394],0.05950169999999999,0.8421740666666668,0.3958268555555555,0.17637836
